date,open,high,low,close,volume
05/04/2013,42,42,40.5,41.37,1552400
08/04/2013,41.97,42.5499,41.51,41.83,1679000
09/04/2013,41.8,41.8299,40.33,40.5,1696100
10/04/2013,40.7,42.01,40.61,41.86,2121100
11/04/2013,42.06,44.55,41.75,43.59,3447400
12/04/2013,43.25,45.139,43.05,43.75,3149400
15/04/2013,43.5,43.8,42.51,43.3,1681400
16/04/2013,44.19,46.14,43.91,45.59,3180400
17/04/2013,45.5,45.95,44.54,45.45,2118500
18/04/2013,45.98,47.599,45.3901,46.97,3367900
19/04/2013,47.46,49.88,47.07,47.83,3011700
22/04/2013,48.6,50.2,47.75,50.19,3939400
23/04/2013,51,52.92,50.66,51.01,3733800
24/04/2013,50.9,51.05,48.98,50.43,2630000
25/04/2013,50.5,52.4,50.5,52,2795900
26/04/2013,53.13,53.74,50.62,51.2,3622100
29/04/2013,51.76,54.99,51.2,54.94,3639700
30/04/2013,56,58.18,53.76,53.99,5522600
01/05/2013,55.99,55.99,53,53.28,2742800
02/05/2013,53.85,55.27,53.7,54.11,3050400
03/05/2013,56.47,56.47,54.5,54.55,3378700
06/05/2013,56.39,59.66,55.5,59.5,4366700
07/05/2013,62,62.37,55.12,55.51,9991000
08/05/2013,57.5,58.2,55.71,55.7865,6769900
09/05/2013,70.12,75.77,63.69,69.4,28605000
10/05/2013,69.65,81,69.25,76.764,25082600
13/05/2013,80.99,88,79.151,87.8,22416900
14/05/2013,94.22,97.12,81.15,83.24,37163900
15/05/2013,81.8,86.88,78.11,84.842,16878700
16/05/2013,94.7,95,88.66,92.248,21614000
17/05/2013,92.5,94.4399,87.5,91.5,19002200
20/05/2013,91.12,92.5,88.63,89.94,8348400
21/05/2013,88.5,89.99,85.2801,87.59,8998200
22/05/2013,86.37,90.96,85.5,87.24,8568000
23/05/2013,84.805,93.01,83.05,92.73,12022200
24/05/2013,92.6,97.95,92,97.08,16124200
28/05/2013,101.55,110.75,100.3,110.334,19691900
29/05/2013,113.55,114.9,99,104.629,25099500
30/05/2013,102.46,109.54,101.2,104.95,16133700
31/05/2013,106.26,106.44,97.73,97.76,15172000
03/06/2013,97.62,97.62,88.25,92.59,19139600
04/06/2013,92.75,96.42,92.4001,94.84,8856100
05/06/2013,93.66,97.9699,89.11,95.37,12224800
06/06/2013,95.25,99.27,95.11,97.35,9510900
07/06/2013,98,102.9,96.7,102.04,10711600
10/06/2013,98.93,102.52,98.57,100.05,9228600
11/06/2013,98.18,98.68,94.05,94.47,7394000
12/06/2013,96.8,100.48,95.75,97.73,9192700
13/06/2013,99,99.28,95.1201,98.18,5961600
14/06/2013,100,102.52,99.33,100.3,6564700
17/06/2013,103.6,104.75,101.2,102.2,7066200
18/06/2013,101.75,103.98,99.2,103.39,8795300
19/06/2013,102.06,106.67,102.01,104.68,8578900
20/06/2013,104.65,107.13,99.45,100.65,10106500
21/06/2013,103.7,103.7,97.5,99.55,11718600
24/06/2013,96.5,102.87,95.3,101.49,7119800
25/06/2013,103.1,104.2,100.55,102.4,5848700
26/06/2013,103.8,105.8699,102.66,105.72,6602600
27/06/2013,106.75,110.25,106.132,109.25,8744900
28/06/2013,108.57,109.44,106.71,107.36,5748600
01/07/2013,109.36,117.77,109.15,117.179,10903600
